TEST_ID,DATE(TEST_DATE),SAMPLE_PIPE_NO,SAMPLE_ID,D_AV,T_AV,CIRCUMFARANCE,REVIEWED_BY,REMARK
151,2023-11-04,H22081018-10,TEST-25,355.6,12.7,1118,Er. Bhaumik QC,
PRESSURE,expansion,stress,strain,T_SEC,T_TIMESTAMP
0.0000,0.0000,0.0000,0.0000,10,00:00:10
0.0000,0.0000,0.0000,0.0000,10,00:00:10
0.0000,0.0000,0.0000,0.0000,10,00:00:10
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,11,00:00:11
0.0000,0.0000,0.0000,0.0000,12,00:00:12
0.0000,0.0000,0.0000,0.0000,12,00:00:12
0.0000,0.0000,0.0000,0.0000,12,00:00:12
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,13,00:00:13
0.0000,0.0000,0.0000,0.0000,14,00:00:14
0.0000,0.0000,0.0000,0.0000,14,00:00:14
0.0000,0.0000,0.0000,0.0000,14,00:00:14
0.0000,0.0000,0.0000,0.0000,15,00:00:15
0.1000,0.0000,1.4000,0.0000,15,00:00:15
0.1000,0.0000,1.4000,0.0000,15,00:00:15
0.0000,0.0000,0.0000,0.0000,15,00:00:15
0.0000,0.0000,0.0000,0.0000,16,00:00:16
0.1000,0.0000,1.4000,0.0000,16,00:00:16
0.1000,0.0000,1.4000,0.0000,16,00:00:16
0.1000,0.0000,1.4000,0.0000,17,00:00:17
0.0000,0.0000,0.0000,0.0000,17,00:00:17
0.1000,0.0000,1.4000,0.0000,17,00:00:17
0.1000,0.0000,1.4000,0.0000,17,00:00:17
0.1000,0.0000,1.4000,0.0000,18,00:00:18
0.0000,0.0000,0.0000,0.0000,18,00:00:18
0.1000,0.0000,1.4000,0.0000,18,00:00:18
0.1000,0.0000,1.4000,0.0000,19,00:00:19
0.1000,0.0000,1.4000,0.0000,19,00:00:19
0.1000,0.0000,1.4000,0.0000,19,00:00:19
0.1000,0.0000,1.4000,0.0000,20,00:00:20
0.0000,0.0000,0.0000,0.0000,20,00:00:20
0.1000,0.0000,1.4000,0.0000,20,00:00:20
0.1000,0.0000,1.4000,0.0000,20,00:00:20
0.1000,0.0000,1.4000,0.0000,21,00:00:21
0.1000,0.0000,1.4000,0.0000,21,00:00:21
0.1000,0.0000,1.4000,0.0000,21,00:00:21
0.1000,0.0000,1.4000,0.0000,22,00:00:22
0.1000,0.0000,1.4000,0.0000,22,00:00:22
0.1000,0.0000,1.4000,0.0000,22,00:00:22
0.1000,0.0000,1.4000,0.0000,23,00:00:23
0.1000,0.0000,1.4000,0.0000,23,00:00:23
0.1000,0.0000,1.4000,0.0000,23,00:00:23
0.1000,0.0000,1.4000,0.0000,24,00:00:24
0.1000,0.0000,1.4000,0.0000,24,00:00:24
0.2000,0.0000,2.8000,0.0000,24,00:00:24
0.2000,0.0000,2.8000,0.0000,25,00:00:25
0.1000,0.0000,1.4000,0.0000,25,00:00:25
0.1000,0.0000,1.4000,0.0000,25,00:00:25
0.1000,0.0000,1.4000,0.0000,26,00:00:26
0.1000,0.0000,1.4000,0.0000,26,00:00:26
0.2000,0.0000,2.8000,0.0000,26,00:00:26
0.2000,0.0000,2.8000,0.0000,27,00:00:27
0.2000,0.0000,2.8000,0.0000,27,00:00:27
0.2000,0.0000,2.8000,0.0000,27,00:00:27
0.1000,0.0000,1.4000,0.0000,27,00:00:27
0.1000,0.0000,1.4000,0.0000,28,00:00:28
0.1000,0.0000,1.4000,0.0000,28,00:00:28
0.2000,0.0000,2.8000,0.0000,28,00:00:28
0.2000,0.0000,2.8000,0.0000,29,00:00:29
0.2000,0.0000,2.8000,0.0000,29,00:00:29
0.2000,0.0000,2.8000,0.0000,29,00:00:29
0.1000,0.0000,1.4000,0.0000,30,00:00:30
0.2000,0.0000,2.8000,0.0000,30,00:00:30
0.1000,0.0000,1.4000,0.0000,30,00:00:30
0.2000,0.0000,2.8000,0.0000,31,00:00:31
0.2000,0.0000,2.8000,0.0000,31,00:00:31
0.2000,0.0000,2.8000,0.0000,31,00:00:31
0.2000,0.0000,2.8000,0.0000,32,00:00:32
0.2000,0.0000,2.8000,0.0000,32,00:00:32
0.2000,0.0000,2.8000,0.0000,33,00:00:33
0.2000,0.0000,2.8000,0.0000,33,00:00:33
0.2000,0.0000,2.8000,0.0000,33,00:00:33
0.2000,0.0000,2.8000,0.0000,34,00:00:34
0.2000,0.0000,2.8000,0.0000,34,00:00:34
0.2000,0.0000,2.8000,0.0000,34,00:00:34
0.2000,0.0000,2.8000,0.0000,35,00:00:35
0.2000,0.0000,2.8000,0.0000,35,00:00:35
0.2000,0.0000,2.8000,0.0000,35,00:00:35
0.2000,0.0000,2.8000,0.0000,36,00:00:36
0.2000,0.0000,2.8000,0.0000,36,00:00:36
0.2000,0.0000,2.8000,0.0000,36,00:00:36
0.2000,0.0000,2.8000,0.0000,37,00:00:37
0.3000,0.0000,4.2000,0.0000,37,00:00:37
0.3000,0.0000,4.2000,0.0000,37,00:00:37
0.3000,0.0000,4.2000,0.0000,38,00:00:38
0.3000,0.0000,4.2000,0.0000,38,00:00:38
0.3000,0.0000,4.2000,0.0000,38,00:00:38
0.3000,0.0000,4.2000,0.0000,39,00:00:39
0.3000,0.0000,4.2000,0.0000,39,00:00:39
0.3000,0.0000,4.2000,0.0000,40,00:00:40
0.4000,0.0000,5.6000,0.0000,40,00:00:40
0.4000,0.0000,5.6000,0.0000,40,00:00:40
0.4000,0.0000,5.6000,0.0000,41,00:00:41
0.4000,0.0000,5.6000,0.0000,41,00:00:41
0.4000,0.0000,5.6000,0.0000,41,00:00:41
0.4000,0.0000,5.6000,0.0000,42,00:00:42
0.4000,0.0000,5.6000,0.0000,42,00:00:42
0.4000,0.0000,5.6000,0.0000,42,00:00:42
0.5000,0.0000,7.0000,0.0000,43,00:00:43
0.5000,0.0000,7.0000,0.0000,43,00:00:43
0.5000,0.0000,7.0000,0.0000,44,00:00:44
0.5000,0.0000,7.0000,0.0000,44,00:00:44
0.5000,0.0000,7.0000,0.0000,44,00:00:44
0.6000,0.0000,8.4000,0.0000,45,00:00:45
0.6000,0.0000,8.4000,0.0000,45,00:00:45
0.6000,0.0000,8.4000,0.0000,45,00:00:45
0.7000,0.0000,9.8000,0.0000,46,00:00:46
0.7000,0.0000,9.8000,0.0000,46,00:00:46
0.7000,0.0000,9.8000,0.0000,47,00:00:47
0.8000,0.0000,11.2000,0.0000,47,00:00:47
0.8000,0.0000,11.2000,0.0000,47,00:00:47
0.9000,0.0000,12.6000,0.0000,48,00:00:48
0.9000,0.0000,12.6000,0.0000,48,00:00:48
1.0000,0.0000,14.0000,0.0000,48,00:00:48
1.0000,0.0000,14.0000,0.0000,49,00:00:49
1.1000,0.0000,15.4000,0.0000,49,00:00:49
1.2000,0.0000,16.8000,0.0000,50,00:00:50
1.2000,0.0000,16.8000,0.0000,50,00:00:50
1.3000,0.0000,18.2000,0.0000,50,00:00:50
1.4000,0.0000,19.6000,0.0000,51,00:00:51
1.5000,0.0000,21.0000,0.0000,51,00:00:51
1.6000,0.0000,22.4000,0.0000,52,00:00:52
1.7000,0.0000,23.8000,0.0000,52,00:00:52
1.7000,0.0000,23.8000,0.0000,52,00:00:52
1.8000,0.0000,25.2000,0.0000,53,00:00:53
1.9000,0.0000,26.6000,0.0000,53,00:00:53
2.1000,0.0000,29.4000,0.0000,53,00:00:53
2.2000,0.0000,30.8000,0.0000,54,00:00:54
2.4000,0.0000,33.6000,0.0000,54,00:00:54
2.5000,0.0000,35.0000,0.0000,55,00:00:55
